@relation 'kafka-weka.filters.unsupervised.attribute.Remove-V-R3,5,6,7,last'

@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
29,0,55,2,1
119,0,138,43,1
73,0,119,22,1
1,0,20,15,1
287,7,795,303,0
32,0,81,2,1
52,0,68,0,1
90,0,122,8,1
120,15,150,52,1
70,0,114,18,1
83,22,158,43,1
106,4,167,58,1
119,19,165,70,1
75,0,93,1,1
72,0,174,4,1
131,12,131,58,1
61,0,91,0,1
125,7,139,60,1
66,0,90,17,1
114,12,147,64,1
338,3,905,351,1
111,33,170,67,1
0,0,3,11,1
98,0,166,13,1
138,14,163,69,1
47,2,121,5,1
329,0,914,348,1
127,24,138,54,0
70,0,142,8,0
121,12,154,63,1
75,2,116,20,1
64,0,159,6,0
73,4,125,22,1
86,0,122,7,1
63,0,112,8,1
32,0,75,2,1
68,0,146,12,1
11,0,40,16,1
383,0,900,387,0
57,0,110,7,1
113,15,141,45,0
85,24,158,49,1
118,38,147,65,1
113,15,142,44,0
73,0,134,11,1
69,13,157,37,1
47,0,82,17,1
78,3,147,10,1
115,14,163,69,1
103,18,129,45,1
116,0,191,15,0
118,5,153,64,1
30,0,68,2,1
59,0,114,12,1
28,0,53,2,1
128,7,138,58,1
87,0,131,9,0
111,34,142,61,1
115,1,200,15,1
110,5,197,29,1
61,5,111,17,1
105,2,130,45,1
68,0,164,6,1
70,0,142,8,1
119,11,134,42,1
116,7,163,66,1
49,0,123,8,1
40,1,106,3,1
110,0,132,49,1
34,0,87,2,1
56,1,117,9,1
97,22,126,43,1
118,11,144,64,1
71,1,150,32,1
101,0,254,9,0
120,2,135,45,1
196,0,558,183,1
34,0,88,2,1
143,20,170,75,0
38,0,97,3,1
110,4,169,60,1
30,0,63,2,1
40,1,107,3,1
131,14,140,56,1
87,1,102,2,1
124,14,151,63,1
61,4,117,14,0
58,0,114,10,1
229,0,596,229,1
83,4,157,43,1
81,2,148,43,1
113,19,139,45,1
132,10,133,58,1
85,0,155,45,1
118,13,156,65,1
70,0,144,32,1
82,8,140,39,1
119,11,151,62,1
126,9,144,62,1
70,0,140,8,1
81,1,123,23,1
289,0,782,302,0
11,0,37,16,1
125,9,155,66,1
112,0,273,7,1
40,1,105,3,1
113,32,171,65,1
75,0,154,12,1
128,14,133,57,1
120,0,148,52,1
76,7,116,19,0
124,14,151,62,0
36,0,93,3,1
114,15,144,44,0
53,0,112,14,1
40,1,108,3,1
82,0,131,27,1
120,8,152,63,1
113,19,138,45,1
114,4,143,47,1
60,2,116,14,0
87,0,150,45,1
118,13,149,64,1
145,9,167,72,1
58,0,112,15,1
83,0,123,23,1
29,0,56,2,1
69,0,154,37,1
31,0,63,17,1
40,1,103,3,1
89,1,100,2,1
80,1,122,24,1
42,0,114,3,1
104,14,166,58,1
90,0,148,9,0
128,5,137,56,0
93,11,149,45,1
83,0,176,11,0
50,5,127,9,1
48,0,91,0,1
90,1,121,42,1
95,15,125,43,1
57,0,73,0,1
0,0,8,11,1
74,0,130,26,1
88,1,130,9,1
125,17,147,50,1
62,4,120,21,1
123,41,149,68,1
54,1,101,13,1
88,1,144,9,1
36,0,94,3,1
83,2,154,42,1
121,0,154,66,1
81,10,150,42,1
338,0,904,371,1
138,17,155,69,0
98,0,172,19,1
76,20,148,36,1
105,4,130,44,1
51,0,90,0,1
65,9,135,26,1
56,3,117,9,1
32,0,82,2,1
82,5,126,24,1
29,0,66,0,0
87,0,129,9,1
129,6,136,54,1
54,0,134,20,1
144,17,169,73,1
57,0,74,0,1
129,4,204,17,1
34,0,69,0,1
40,1,109,3,1
93,17,124,43,1
92,2,152,46,1
83,2,152,42,1
114,7,148,64,1
41,0,116,3,1
113,16,134,45,1
42,0,117,3,1
87,2,142,41,1
57,6,116,20,1
131,12,141,56,1
65,0,109,7,1
30,0,66,2,1
118,7,148,64,1
70,0,134,11,1
132,9,135,56,1
113,0,147,56,0
124,1,200,15,1
129,0,138,57,1
79,0,127,27,1
119,11,149,62,1
118,5,151,64,1
116,10,154,69,1
325,0,926,348,1
116,19,155,69,1
63,2,115,17,0
123,22,150,53,1
14,1,44,16,1
102,1,261,8,1
39,0,99,3,1
92,0,191,9,1
82,1,123,14,1
73,0,135,12,1
11,0,36,16,1
62,0,91,0,1
83,0,126,10,1
124,11,151,70,1
91,0,219,6,1
118,7,143,64,1
71,11,149,32,1
70,0,117,22,1
103,3,166,57,1
84,0,190,10,1
97,4,126,42,1
69,16,147,32,1
58,0,115,10,1
0,0,1,4,1
78,0,117,24,1
125,13,137,59,0
58,0,111,8,1
111,33,167,67,0
72,0,151,12,1
55,0,108,13,0
128,24,138,54,0
68,0,105,13,1
81,4,149,41,1
91,17,123,43,1
124,11,150,70,1
124,18,148,51,1
81,21,148,41,0
79,0,89,3,1
133,15,152,66,1
47,1,120,7,1
73,0,118,22,1
82,6,127,24,1
97,1,125,45,1
124,0,147,51,1
74,0,91,1,1
60,4,118,18,1
130,6,139,53,1
98,0,147,52,1
111,34,141,61,1
123,12,152,63,1
119,12,136,43,1
29,0,56,1,1
76,0,128,27,1
117,7,166,69,1
133,15,153,66,0
83,2,153,42,1
42,0,115,3,0
125,11,138,59,1
102,1,173,14,1
145,19,165,72,1
58,0,117,10,1
128,6,133,58,0
75,0,119,24,1
62,4,115,14,1
79,20,149,39,1
58,0,116,10,1
102,0,249,18,1
47,1,121,7,0
47,2,120,5,1
42,0,116,3,0
102,19,151,51,0
90,14,122,42,0
79,5,129,27,1
95,2,150,46,1
141,23,170,75,1
119,11,139,43,1
120,7,149,63,1
127,0,207,17,1
89,6,162,53,0
32,0,84,2,1
130,16,147,65,0
123,11,136,59,1
85,6,126,24,0
76,0,146,9,1
75,0,114,19,0
82,4,155,42,1
65,12,139,27,1
92,0,150,46,0
146,20,170,72,0
72,0,147,13,1
41,0,114,3,1
30,0,65,0,1
109,2,183,15,1
90,0,125,8,1
39,0,98,3,1
113,16,140,45,1
113,4,169,62,1
76,3,149,37,0
97,23,149,52,1
84,0,176,12,1
98,2,159,11,1
58,1,109,17,1
81,2,151,41,1
120,5,160,65,1
64,9,138,26,1
65,2,138,26,1
119,11,133,42,1
68,0,107,8,1
229,0,597,229,1
102,5,164,56,0
97,20,127,43,1
77,2,114,22,1
122,9,148,67,1
88,7,151,44,1
125,14,141,61,1
68,1,112,19,1
100,15,124,44,1
94,0,123,42,1
86,3,123,7,1
356,0,830,362,0
85,24,159,49,1
33,0,85,2,1
99,0,147,53,1
113,32,170,65,1
117,7,164,67,0
136,16,154,68,0
85,0,127,24,1
73,0,149,11,1
49,5,124,8,1
329,0,856,342,1
91,8,151,50,1
124,1,201,15,1
37,0,72,0,1
53,0,72,0,1
92,1,153,10,1
134,14,136,60,1
81,1,121,23,1
58,0,113,15,1
83,0,124,23,1
40,1,110,3,1
69,16,146,32,1
123,19,147,51,1
28,0,58,1,1
83,4,130,21,1
51,0,89,0,1
124,19,145,51,1
82,0,105,1,1
68,4,145,32,1
54,0,102,13,1
118,13,152,64,1
113,0,266,6,1
53,0,86,0,1
70,3,114,17,0
122,13,151,64,1
70,1,157,36,0
93,0,150,45,1
66,2,108,14,1
111,0,164,66,1
29,0,54,2,1
111,33,171,66,1
61,4,115,19,1
111,33,172,66,1
133,13,151,66,1
62,0,86,0,1
