@relation cloudstack

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
157,0,801,3,1,415,374,1
32,0,822,1,1,442,416,1
105,29,763,8,6,371,325,7
2,46,1257,7,6,246,224,1
14,1,801,4,2,416,374,90
20,0,680,11,4,362,277,1
14,0,790,2,0,420,384,1
46,9,1259,13,6,273,251,7
13,19,844,49,21,318,270,1
103,0,798,2,1,461,422,1
58,62,750,13,12,374,319,1
12,0,785,6,3,445,404,1
16,11,1326,2,1,22,20,1
18,61,794,18,16,457,415,1
35,0,766,33,30,449,413,365
31,63,974,28,26,425,399,14
8,102,933,99,92,378,350,1
56,231,711,24,19,427,302,7
92,6,681,14,12,423,307,14
7,0,862,31,31,451,419,7
9,17,742,24,27,410,315,7
12,0,753,4,1,445,397,7
138,220,680,15,14,421,315,14
19,15,670,21,23,383,288,1
32,0,1200,10,10,161,150,1
55,0,671,21,15,385,279,7
127,0,653,2,0,370,249,1
341,0,943,1,0,438,403,7
70,8,1264,9,5,268,251,7
62,86,676,24,22,426,308,1
34,0,1203,36,35,214,193,1
40,9,1268,11,6,270,253,7
4,11,1169,23,11,288,256,1
29,86,614,18,16,345,241,90
60,9,801,11,8,462,418,1
25,0,986,1,0,45,36,7
8,0,973,29,25,418,394,30
18,7,937,5,4,387,363,1
23,0,1135,22,17,289,262,1
36,0,710,5,2,421,299,90
27,0,612,3,1,352,234,7
92,4,764,8,6,371,322,365
82,20,637,10,9,354,255,7
108,73,618,21,14,374,255,1
92,7,703,15,13,422,299,14
31,18,939,3,0,428,398,1
109,102,267,32,24,161,74,90
79,0,929,8,7,439,403,7
28,0,620,24,17,375,256,7
88,24,693,27,19,430,316,90
6,62,970,25,22,420,394,1
31,0,642,6,2,399,282,14
41,0,1208,2,1,115,108,180
50,0,635,7,2,375,255,180
21,42,1062,1,0,39,31,7
32,17,780,5,4,439,398,1
256,0,617,2,0,350,239,90
23,0,693,2,0,421,300,7
29,0,1164,7,1,148,130,7
43,29,609,20,17,387,255,30
272,3,760,4,3,445,396,7
36,0,1149,3,1,136,125,90
18,0,1251,17,14,276,252,1
7,0,1088,1,0,81,75,1
126,1,791,1,0,432,397,7
28,156,631,7,7,391,269,1
10,19,844,67,21,336,270,1
144,221,1259,12,11,274,251,1
34,19,930,7,1,430,396,90
12,55,808,13,10,423,375,7
11,102,930,96,92,375,349,1
57,0,322,1,0,191,101,30
26,162,974,12,10,426,399,7
152,87,681,27,26,420,309,7
18,267,737,29,28,416,310,1
37,6,795,11,10,435,397,1
41,7,660,12,10,387,267,7
88,11,668,24,22,380,288,30
38,0,745,4,3,449,413,90
6,0,1146,13,12,286,259,1
194,0,800,1,0,461,418,14
3,3,1162,4,3,139,129,7
54,0,830,1,1,56,49,7
63,30,662,18,9,383,268,7
17,51,915,16,13,371,337,7
41,0,1162,6,3,127,118,30
17,0,760,1,0,437,386,1
8,0,1150,3,1,133,120,1
20,45,1209,2,1,123,114,1
54,61,665,18,17,385,268,1
24,0,1365,1,0,38,34,30
57,0,890,2,1,46,36,14
99,21,937,9,3,434,401,90
55,0,942,3,1,434,403,7
43,7,332,2,0,191,105,90
22,0,1135,21,17,288,262,90
25,81,810,15,14,445,412,1
108,0,753,13,11,438,388,7
194,28,694,23,19,359,284,7
28,32,639,24,15,386,267,1
17,19,844,80,21,348,269,1
138,63,734,15,13,366,303,90
175,6,682,14,11,425,314,30
57,29,683,24,21,362,279,1
100,7,829,3,2,65,57,1
84,0,876,7,5,448,416,7
21,0,930,5,3,436,403,1
25,0,255,6,6,140,72,7
13,33,693,29,28,419,300,1
15,19,844,55,21,324,270,1
5,46,1259,9,8,272,251,1
45,130,873,16,15,438,403,7
19,0,763,10,8,368,322,1
23,22,1349,9,7,35,27,1
7,0,870,1,0,29,25,365
85,19,849,5,4,443,418,365
172,166,645,8,7,402,281,1
61,0,762,12,10,447,404,7
142,0,1197,1,0,199,183,1
54,9,1085,5,4,69,64,7
42,153,971,116,113,421,395,7
28,0,1143,18,17,286,259,1
15,0,1251,52,51,278,253,1
170,6,699,14,13,414,300,30
162,0,1259,20,19,276,251,1
44,21,790,7,5,424,389,1
21,1,695,7,4,365,272,90
23,0,1119,2,1,50,40,1
35,57,627,21,15,386,266,7
40,0,335,2,1,212,113,90
20,0,1164,6,1,147,130,7
28,0,875,4,2,443,413,1
29,0,681,4,4,419,306,180
142,0,697,5,4,422,310,1
15,0,674,19,14,378,262,7
17,0,1199,2,1,109,101,180
11,34,1078,5,4,73,67,1
11,12,764,15,12,448,405,1
75,7,846,4,3,452,422,7
42,0,647,7,7,365,263,7
9,0,826,1,0,419,374,7
14,45,750,15,13,444,397,7
47,49,643,21,18,366,246,1
27,18,647,11,9,383,264,180
11,0,251,4,1,163,75,30
10,0,1208,19,18,117,109,1
47,81,681,23,22,421,306,1
71,1,234,3,1,157,64,7
39,40,710,31,29,401,304,90
12,15,726,23,17,413,305,7
101,63,696,16,13,362,292,180
34,0,1260,1,0,261,245,1
35,32,653,10,8,370,250,7
84,23,269,15,11,163,73,7
7,2,798,1,0,462,420,1
49,0,664,21,15,383,273,30
40,0,666,9,6,356,264,90
38,0,700,6,4,436,320,1
48,0,661,5,4,382,271,1
45,6,650,5,5,367,251,14
3,3,1169,5,4,152,132,1
12,19,844,88,21,356,269,1
11,6,1056,2,1,26,19,1
16,85,876,41,37,449,420,30
32,217,696,14,13,432,318,1
74,0,647,3,2,384,267,14
48,0,637,15,10,365,243,7
44,0,980,4,3,46,36,7
75,0,1164,1,1,141,130,7
104,0,751,3,1,443,399,14
25,0,796,7,6,435,400,14
76,0,1180,16,14,107,99,7
4,0,2005,1,0,3,1,1
17,0,277,2,0,160,68,30
90,11,664,25,22,384,288,90
85,80,680,22,21,415,306,1
24,85,873,40,37,445,418,30
9,1,443,1,0,267,168,90
14,0,847,2,1,71,65,1
107,1,1170,1,0,286,264,7
31,0,680,4,0,419,306,1
12,0,1451,1,0,40,36,1
12,19,844,85,21,353,269,7
7,0,1145,3,2,287,260,14
68,0,813,5,3,443,415,1
43,0,700,14,7,427,312,7
19,19,844,53,21,322,270,1
23,49,696,27,27,393,302,14
26,1,1123,1,0,51,40,1
31,0,230,1,0,157,63,1
30,33,764,10,7,369,322,7
94,0,222,1,0,151,66,1
47,9,1268,10,6,269,253,30
88,70,733,34,30,413,307,180
28,0,389,2,0,235,138,1
18,43,653,31,23,411,285,1
68,0,265,4,4,150,70,90
90,5,1209,8,7,124,114,1
7,0,803,8,7,423,385,7
14,0,683,7,5,365,282,7
8,0,1206,2,1,114,107,1
8,0,870,2,0,30,25,365
18,2,1066,3,1,21,14,1
32,0,709,29,25,399,304,90
44,0,668,4,3,422,307,7
14,78,1261,2,1,273,252,1
39,268,693,33,32,390,300,7
13,18,1333,8,6,34,26,1
25,130,1199,1,0,204,186,1
200,1,787,1,0,459,422,14
15,0,749,2,0,372,319,180
92,6,699,16,11,421,311,30
22,1,683,7,7,416,308,180
4,0,1173,1,0,156,137,7
77,0,710,4,2,420,299,180
69,36,730,29,28,413,306,1
8,102,932,101,92,380,350,1
52,0,1204,2,1,215,194,1
35,102,266,23,20,152,70,1
127,240,1204,4,4,163,152,7
11,12,619,20,7,374,255,14
13,21,277,15,10,164,78,14
12,19,844,89,21,357,269,7
80,24,695,28,19,431,318,90
32,0,1233,13,9,226,207,7
25,8,648,7,6,360,265,30
37,0,680,30,25,417,306,7
6,60,960,20,20,408,382,1
123,0,789,4,1,421,385,90
47,0,1265,47,46,261,245,1
227,0,1156,13,12,88,82,7
29,3,1043,2,1,41,32,1
45,6,835,3,2,59,52,1
80,0,1262,10,9,255,234,1
12,12,1435,3,1,45,38,90
48,9,1259,14,6,275,251,7
35,0,629,3,1,387,267,14
61,0,1164,24,23,150,130,1
110,10,690,9,8,424,309,90
20,0,786,9,8,423,390,365
16,19,844,54,21,323,270,1
183,0,1180,1,0,181,170,90
116,55,770,21,17,441,401,7
27,33,670,13,9,386,279,30
15,16,1211,9,9,118,110,7
18,0,671,11,0,424,308,90
29,0,1123,1,0,50,40,7
21,129,746,46,44,447,412,7
28,0,934,1,0,384,361,1
11,68,874,35,31,439,403,1
24,0,623,4,3,360,240,7
10,2,940,3,1,43,33,1
33,0,868,30,31,448,415,7
26,14,890,7,4,47,37,7
150,3,1173,4,3,95,90,1
188,148,939,14,13,444,410,1
15,0,1265,12,11,261,243,1
33,30,699,27,27,423,312,90
12,0,1172,4,3,155,136,1
10,1,802,5,3,445,412,7
6,7,1205,6,6,111,101,1
119,30,619,20,17,385,258,7
26,16,1210,10,9,126,117,7
74,256,667,38,37,377,279,90
153,0,697,6,5,423,311,30
8,101,798,46,42,444,411,7
15,0,806,4,2,446,413,7
77,150,971,114,111,415,392,1
52,268,710,29,29,399,304,1
147,0,641,12,7,367,268,1
37,14,1164,9,8,128,118,7
85,268,693,34,32,391,300,7
280,1,434,2,0,266,166,30
14,0,691,1,0,363,273,90
11,19,844,62,21,331,270,1
6,87,879,42,37,448,417,7
84,0,1372,3,1,47,39,90
64,110,660,22,22,362,265,7
11,32,664,14,8,387,269,30
17,42,1200,5,4,162,150,1
42,0,616,8,6,348,240,7
51,176,1432,5,3,40,35,7
15,0,605,1,0,383,255,1
31,10,671,16,15,390,276,7
18,42,1210,8,5,167,153,1
8,7,710,9,7,391,302,90
15,230,1200,6,5,198,182,1
24,0,759,1,0,455,415,30
17,3,833,5,4,67,58,1
40,48,664,27,23,383,288,1
34,0,696,1,0,422,302,7
7,49,661,12,11,378,260,30
11,6,639,15,9,375,257,1
9,0,698,9,6,414,303,30
4,22,1182,14,13,179,168,1
78,0,1161,1,0,102,95,1
12,141,767,39,40,371,323,90
9,67,951,22,19,397,371,1
98,227,699,22,19,412,300,30
77,13,619,7,5,357,237,7
34,0,335,1,0,201,110,1
32,0,1124,12,11,86,81,1
208,38,708,28,27,395,300,7
67,70,733,35,30,414,307,7
32,0,681,3,0,421,305,14
17,273,709,31,29,395,297,1
34,0,750,2,3,452,413,14
87,0,1268,1,0,271,253,90
96,0,846,5,2,72,65,1
24,14,699,10,8,431,319,90
64,0,790,15,14,421,385,1
42,29,650,27,22,361,267,14
15,0,736,13,8,415,309,14
15,7,803,3,1,443,412,1
5,4,846,2,1,51,46,1
58,19,1128,32,21,301,270,7
57,0,1188,27,26,176,165,1
49,0,613,1,0,352,236,7
63,0,826,1,0,425,381,7
52,0,653,18,14,371,249,90
71,231,698,18,16,417,310,1
91,0,862,8,6,453,421,1
6,135,964,108,101,397,370,1
30,0,972,52,52,422,395,30
20,0,764,3,3,449,405,14
3,34,1078,6,5,74,68,1
15,0,899,54,53,359,326,7
36,0,1353,9,6,36,31,1
9,3,770,3,2,450,409,1
42,0,700,12,7,424,312,180
61,18,939,2,0,427,398,7
33,72,933,32,30,442,409,14
879,0,1157,8,7,87,82,7
74,18,702,12,9,419,305,30
47,30,284,22,19,143,84,1
49,19,844,45,21,314,270,1
37,0,637,2,2,394,277,7
7,102,933,100,92,379,350,1
107,55,770,20,17,440,401,7
69,0,962,5,2,408,382,1
137,245,1207,5,4,169,155,7
7,0,1513,3,1,27,18,365
38,0,698,9,7,419,311,180
36,0,1261,42,41,241,222,1
97,166,1393,4,2,40,34,1
25,232,707,25,19,427,300,7
48,11,875,1,0,436,403,7
71,72,933,33,30,443,409,7
14,10,873,2,0,437,403,7
10,19,844,69,21,338,270,1
535,0,1265,18,16,259,239,1
311,28,665,26,21,387,276,7
24,22,251,21,15,158,71,7
16,0,838,1,0,61,56,7
102,0,724,3,2,409,310,90
66,0,792,3,2,434,397,14
182,0,1125,53,52,292,265,1
12,0,933,25,21,381,351,7
41,67,638,12,12,363,245,365
12,0,680,3,0,414,306,7
88,0,1055,1,0,25,18,1
106,0,607,3,0,384,254,7
24,0,861,1,0,452,418,7
24,12,1435,2,1,44,38,1
21,19,844,90,21,358,269,1
22,8,629,13,11,388,267,1
51,0,606,7,5,383,255,14
28,0,733,12,8,415,308,180
43,0,711,2,1,369,302,90
25,0,1194,29,28,178,167,1
54,1,231,1,0,142,59,14
8,135,964,107,101,396,370,1
84,0,777,5,3,445,414,7
31,0,230,2,0,158,63,7
40,71,644,22,15,371,246,7
410,0,794,16,15,423,385,14
33,19,1128,35,21,304,270,7
69,0,790,2,1,442,402,7
9,45,931,4,2,45,36,1
246,0,802,17,16,446,412,7
18,46,1169,4,2,153,133,1
40,57,690,34,29,435,316,1
28,0,1207,37,36,218,198,1
190,0,680,11,3,416,306,7
4,19,1383,8,7,38,33,1
14,0,1210,4,2,116,109,30
40,0,1174,22,21,288,266,1
70,0,692,8,5,363,284,7
87,17,610,6,4,347,232,1
160,12,713,22,16,425,298,14
8,4,685,5,3,412,308,7
43,32,651,23,19,408,285,7
236,98,271,34,22,167,72,90
26,12,1167,1,0,24,20,14
25,2,1155,2,1,138,128,1
166,0,799,1,2,424,384,90
77,6,634,13,9,373,255,1
61,0,700,11,6,393,303,1
29,24,675,13,10,425,307,7
26,0,755,7,6,454,413,7
14,83,903,93,78,363,327,1
56,0,1122,3,1,291,262,1
25,0,977,28,23,400,379,7
154,1,708,1,0,427,301,7
18,19,844,79,21,347,269,7
2,0,2006,2,1,4,2,1
11,0,1059,1,0,42,32,1
78,0,633,1,0,351,256,90
341,26,648,23,20,385,264,7
43,0,688,15,7,421,308,7
3,39,624,28,19,391,262,1
25,85,873,39,37,444,418,30
17,48,1238,12,11,281,262,14
7,135,964,112,101,401,370,1
42,0,760,1,0,445,395,1
10,19,844,68,21,337,270,1
23,13,680,6,6,364,277,7
91,225,702,19,17,416,304,30
52,50,652,24,20,368,250,7
81,0,969,22,21,401,378,1
44,28,642,23,10,383,263,7
9,0,668,1,0,380,263,1
42,0,635,3,0,364,242,14
32,6,795,12,10,436,397,1
59,19,844,47,21,316,270,1
1,0,1211,1,0,8,0,365
102,141,647,7,7,385,267,7
46,50,652,25,20,369,250,7
788,0,1240,15,14,234,211,1
74,0,1150,4,2,135,124,1
282,79,619,11,10,359,237,7
28,6,652,14,12,368,250,7
23,83,903,92,78,362,327,1
86,102,266,28,23,157,73,30
12,44,1208,1,0,122,113,1
44,0,939,5,4,40,31,1
54,79,680,21,21,411,307,1
131,0,1229,21,20,280,262,1
7,19,844,73,21,341,269,1
18,0,845,3,1,73,65,90
33,0,1164,1,0,285,263,7
6,19,844,42,21,311,270,1
32,11,1169,18,11,285,258,1
22,0,1154,52,53,284,260,1
111,0,799,3,1,462,422,7
43,0,1277,3,0,25,19,30
7,0,1513,2,0,26,17,1
8,42,650,23,20,383,262,1
14,48,785,10,9,423,389,1
11,2,1210,2,1,120,111,7
19,20,1209,13,13,171,157,7
29,45,760,16,13,443,393,7
243,0,937,26,26,432,399,7
4,62,970,21,21,410,388,1
25,0,699,12,4,430,319,1
28,19,1128,34,21,303,270,7
50,0,696,7,3,423,302,180
53,0,1212,14,13,222,200,1
43,32,651,24,19,409,285,1
27,0,681,9,0,412,307,90
198,10,672,7,6,416,293,7
64,2,278,3,3,165,76,30
66,0,969,24,23,416,392,1
8,42,650,24,20,384,262,1
10,0,1209,5,2,120,111,1
21,0,790,4,1,423,385,14
86,0,639,2,0,387,267,7
49,23,678,23,19,431,310,90
94,71,674,20,20,417,296,7
718,0,789,15,14,434,396,14
13,42,1210,7,5,166,153,1
36,51,661,24,21,379,271,1
73,8,704,17,15,424,301,180
20,22,1353,8,7,37,31,1
113,0,773,7,3,446,413,7
63,0,654,12,4,412,286,1
4,75,869,37,34,445,414,1
400,0,281,1,0,175,88,90
46,37,648,21,23,384,262,7
43,0,1146,53,53,285,260,1
186,0,624,13,5,346,243,14
23,38,1195,9,8,210,189,1
24,242,641,39,37,367,269,180
26,44,692,13,11,364,273,30
153,0,1236,54,54,283,262,7
13,0,613,3,2,389,258,7
10,19,844,63,21,332,270,1
14,0,687,1,0,432,315,180
16,5,934,3,2,385,361,1
397,0,1085,6,5,70,64,1
5,0,631,2,1,390,273,1
35,0,802,33,33,443,414,7
42,27,654,24,20,376,265,1
48,0,793,5,1,422,385,7
27,148,939,15,13,445,410,7
106,131,611,9,8,375,255,1
46,0,1214,13,12,196,178,1
14,19,906,40,21,309,270,1
250,269,694,35,32,392,299,7
93,58,1387,1,0,39,34,7
89,0,874,10,8,439,402,1
49,0,683,29,24,411,306,1
42,13,796,5,3,434,395,1
36,130,1204,2,0,207,186,1
41,221,683,16,14,415,308,1
40,0,781,7,4,440,398,1
90,0,1186,31,30,183,171,1
45,0,1187,10,8,185,172,7
26,0,633,1,0,352,256,30
47,134,612,9,8,373,252,1
1014,0,1125,7,6,71,66,1
37,0,801,9,10,462,418,365
15,0,1060,1,0,44,36,30
184,0,1180,15,14,106,99,7
35,154,935,13,12,439,406,7
18,0,1260,4,3,243,223,7
14,0,903,1,0,35,30,365
27,68,776,16,14,445,413,7
142,18,612,8,6,350,234,30
148,101,265,22,20,151,70,1
237,98,271,33,22,166,72,30
33,0,614,2,1,344,241,7
23,101,266,30,24,159,74,30
211,0,1201,17,14,110,101,1
75,0,619,3,1,358,237,180
377,0,970,26,25,418,394,7
88,5,1172,5,4,103,97,7
9,2,801,7,6,461,422,7
21,1,1162,1,0,91,83,1
31,0,668,5,4,389,276,7
70,48,664,28,23,385,288,14
10,67,951,20,19,395,371,1
174,8,749,3,2,449,416,7
140,66,608,23,14,345,241,7
15,7,803,4,1,444,412,1
54,211,554,38,35,326,222,90
17,64,936,30,27,427,400,14
8,5,270,7,5,160,74,30
78,7,669,12,10,423,307,7
23,0,1208,2,0,219,199,7
14,7,803,2,1,442,412,1
37,0,786,15,13,441,400,7
32,0,1254,40,39,239,218,1
46,84,884,38,37,446,421,14
84,0,1100,3,3,82,77,1
24,0,642,1,0,364,249,7
73,1,767,6,3,371,322,180
42,6,635,14,9,374,255,30
38,138,747,38,39,371,319,30
75,0,615,2,0,353,236,7
44,0,836,2,1,70,61,1
93,0,1205,18,16,115,105,1
29,40,613,11,10,355,234,7
42,0,940,4,2,435,403,1
52,63,619,20,18,374,255,7
18,11,1169,20,11,287,258,1
32,68,935,31,28,440,406,7
46,27,802,8,7,462,422,14
50,17,1216,12,11,222,200,7
11,54,806,12,10,422,375,1
143,0,401,1,0,243,148,14
104,0,1451,2,1,46,39,30
7,4,1241,10,9,234,212,7
13,0,1202,5,4,185,172,1
43,10,235,4,3,158,64,1
56,9,770,4,3,440,402,1
12,13,789,6,5,435,395,1
10,6,927,13,12,440,405,90
14,9,634,7,5,376,257,1
6,1,651,7,4,385,262,7
5,1,767,4,2,438,399,1
8,33,612,13,11,358,253,7
7,4,1241,9,8,233,211,1
60,3,624,2,1,345,244,1
18,26,685,15,9,429,310,7
3,62,971,23,22,413,392,7
65,0,644,1,0,400,281,7
31,1,1212,6,5,193,177,14
11,6,930,12,11,437,403,1
13,6,668,3,2,383,278,14
21,28,907,12,11,367,334,1
35,28,620,20,19,387,262,7
18,26,685,14,8,428,309,1
4,1,1212,7,5,194,177,14
15,1,1213,8,5,195,178,14
15,5,906,2,1,365,332,1
6,5,908,11,10,370,335,1
32,5,1464,5,4,18,9,7
16,0,1210,3,2,121,112,1
5,0,1210,1,0,7,0,1000
3,43,841,1,0,57,47,1
5,0,821,1,0,56,48,90
14,11,636,9,5,376,255,1
30,4,793,2,0,460,418,180
29,11,1083,9,7,38,31,1
6,2,669,2,1,384,278,1
8,24,1009,4,2,22,15,1
7,0,842,2,0,58,51,1
64,4,1183,3,2,32,25,1
37,1,468,2,0,287,189,90
15,0,1009,1,0,18,12,14
16,152,1052,2,1,22,15,1
33,6,1085,4,3,33,27,1
4,25,684,12,8,426,309,7
8,2,845,3,2,50,44,1
15,1,1450,4,3,17,8,1
13,1,661,1,0,377,271,1
5,3,1017,2,0,23,15,1
13,0,849,2,0,48,40,1
14,24,242,22,16,158,69,30
10,0,1214,2,1,29,22,7
12,0,1458,1,0,43,37,90
159,0,1443,1,0,14,5,1
77,2,1189,2,1,30,23,1
6,25,1011,5,3,18,12,1
15,22,238,17,12,157,63,30
11,8,1472,8,7,27,18,1
7,23,1048,6,4,24,17,1
19,0,1458,2,0,44,37,90
96,1,1448,2,1,15,6,7
113,1,1446,3,2,16,7,1
11,7,839,4,2,68,59,1
8,7,1466,1,0,19,9,1
63,0,1233,1,0,35,23,7
17,24,1009,3,2,21,15,180
6,0,1235,1,0,4,0,180
10,0,678,1,0,415,304,30
6,5,686,3,2,416,299,7
34,1,638,1,0,367,251,30
4,26,685,13,8,427,309,7
6,0,865,1,0,28,24,1
14,0,713,1,0,427,298,1
4,1,827,2,0,55,46,1
6,0,1456,1,0,14,4,14
40,0,666,1,0,358,266,365
18,0,1410,1,0,39,33,1
106,10,1090,7,6,36,30,1
24,13,1080,10,9,40,33,1
3,0,1386,1,0,36,28,1
24,0,847,1,0,48,41,1
25,1,1235,3,1,230,207,1
19,0,1364,1,0,39,34,1
27,0,714,1,0,427,297,7
29,1,1197,2,1,212,191,7
76,0,655,1,0,361,264,1
173,7,1313,1,0,47,38,1000
34,1,682,1,0,421,309,180
75,4,804,4,3,445,412,7
44,0,1184,1,0,182,170,1
42,0,1216,1,0,199,182,1
21,26,936,2,1,425,400,7
1,0,779,1,0,438,397,1
23,0,1467,1,0,24,14,1
3,0,1220,1,0,5,0,90
3,25,684,11,8,425,309,7
40,10,635,8,5,377,257,1
28,2,989,1,0,40,35,365
13,15,926,2,1,41,36,1
22,6,1084,6,3,35,27,1
20,0,933,1,0,32,26,30
8,0,1462,1,0,42,37,1
35,11,1083,8,7,37,31,1
16,3,670,3,1,387,271,7
120,6,1491,6,4,22,12,1
17,0,924,1,0,41,36,1
4,1,1151,1,0,134,122,180
7,0,1273,1,0,33,22,365
18,3,1161,2,1,101,95,1
11,0,1210,1,0,6,0,1
2,0,1233,1,0,34,23,1
4,1,875,2,1,33,27,1
2,0,1398,1,0,29,19,14
40,0,1103,1,0,83,78,7
17,3,1172,3,2,105,98,7
6,0,1214,3,0,10,1,1000
6,0,1214,4,1,11,2,1000
23,7,1473,7,6,25,15,1
9,7,1287,1,0,32,22,7
38,0,1401,1,0,30,19,1
7,0,1213,2,0,9,0,1
43,18,640,10,9,379,259,14
15,7,615,6,5,373,252,7
11,14,1084,11,10,41,35,1
33,27,981,15,14,41,36,1
20,23,701,10,8,433,320,14
27,6,1085,5,3,34,27,1
4,2,846,2,1,74,65,1
4,2,846,3,1,75,65,1
30,24,1081,14,13,39,33,1
28,0,807,1,0,464,425,7
24,0,1471,1,0,21,10,1
8,18,906,3,2,31,25,7
17,12,971,4,3,414,392,7
90,12,1174,12,9,32,24,1
45,17,1247,13,11,237,214,1
22,0,1263,2,1,12,2,1
71,19,1171,13,11,33,25,1
37,0,1011,1,0,19,13,1
29,12,1282,10,9,31,22,30
21,0,1207,1,0,189,174,180
31,20,1169,14,13,281,258,7
8,0,1306,1,0,12,3,1
9,8,1471,2,1,20,10,1
28,32,611,12,11,357,253,7
45,9,1282,9,8,30,21,1
68,12,1179,11,9,31,24,1
15,0,749,1,0,448,416,1
15,9,1156,2,1,176,165,1
221,0,1528,1,0,5,0,1000
280,0,1675,1,0,7,0,365
24,4,2177,1,0,2,0,1
