@relation 'camel-weka.filters.unsupervised.attribute.Remove-V-R2,3,6,7,last'

@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
0,239,120,4,1000
62,602,317,24,7
0,676,287,11,365
0,528,254,57,1
392,671,299,3,365
0,443,100,0,365
0,640,242,7,365
0,199,127,2,90
374,724,291,10,365
0,521,244,157,14
408,667,353,12,365
0,567,265,25,365
0,611,271,23,1
405,712,309,4,365
0,576,257,9,1000
0,941,521,131,90
0,724,295,8,365
0,180,111,2,90
0,686,266,11,365
0,310,152,7,90
407,706,264,11,365
0,448,102,0,365
64,608,279,43,1
296,482,283,5,180
0,706,316,6,365
41,540,265,6,180
351,624,292,14,365
0,506,298,5,180
0,492,210,96,14
0,585,300,171,365
0,597,267,4,1000
190,559,261,25,365
0,400,176,11,30
0,670,297,10,90
88,678,260,2,365
0,511,284,6,180
378,705,275,4,365
0,659,277,10,365
268,585,297,171,90
379,665,251,9,365
215,525,254,6,365
125,414,176,97,1000
0,706,315,9,365
238,303,119,2,180
0,321,121,2,180
18,592,311,21,1000
0,550,263,17,1000
0,670,269,4,1000
385,628,336,9,365
36,343,162,7,90
0,549,279,98,180
0,688,270,8,365
0,697,273,7,365
210,507,229,95,14
0,575,260,12,1000
0,631,321,25,90
0,548,276,3,180
52,576,270,21,30
0,610,282,9,365
0,732,323,6,365
202,488,233,93,14
61,176,107,2,1000
347,622,294,16,1000
331,580,275,13,1000
431,693,366,13,365
382,671,259,11,365
353,582,316,9,365
0,596,338,29,14
321,593,233,9,365
0,641,251,8,1000
0,454,206,90,90
0,475,209,70,90
409,656,353,12,1000
0,860,383,79,1
0,322,97,0,1000
19,587,291,62,1000
252,329,56,0,365
0,674,267,4,180
0,392,174,10,14
0,548,319,13,365
14,708,308,3,1
0,643,254,7,365
255,568,286,90,90
309,409,115,0,365
317,704,279,1,180
376,691,268,4,180
197,577,265,44,365
0,729,300,9,1000
0,467,207,84,14
358,594,321,8,365
0,520,257,60,365
397,696,273,11,365
306,505,301,7,365
356,641,253,7,365
243,320,113,0,180
62,550,264,167,1000
348,599,269,11,1000
0,604,241,2,365
238,594,265,4,365
0,556,231,8,1000
0,635,292,9,365
432,694,366,13,365
0,637,252,8,365
348,599,272,11,1000
182,539,254,25,365
0,619,303,7,365
0,905,327,64,7
0,599,252,2,365
0,503,296,7,365
372,723,298,10,1000
0,299,143,7,90
0,651,257,7,1
329,619,319,23,7
0,604,343,11,365
194,571,264,44,365
185,544,263,49,365
342,659,264,6,365
0,553,283,5,180
0,574,296,87,180
177,489,205,97,1000
334,439,111,0,365
410,704,277,11,365
359,601,280,2,1000
0,604,291,43,365
0,598,258,11,1000
402,695,277,11,365
21,599,317,23,1
0,615,289,7,365
0,297,123,2,180
0,588,264,9,365
55,535,260,68,365
0,615,240,9,1000
0,555,281,5,180
0,631,279,7,365
0,592,289,7,365
0,616,276,2,365
0,709,279,11,1000
0,715,269,8,365
209,522,232,104,180
0,623,308,6,1
369,713,275,8,365
48,358,171,8,90
118,423,187,92,90
376,621,247,2,180
350,593,276,2,180
382,676,272,4,365
430,692,366,13,365
0,319,112,0,7
0,585,302,10,1000
0,717,311,9,365
0,656,255,7,365
0,642,260,6,365
5,665,270,7,365
0,688,269,8,365
255,570,296,74,365
307,505,296,8,365
0,732,324,6,365
0,705,279,1,180
4,1044,378,63,1
0,485,296,6,7
0,596,288,43,365
0,641,259,3,180
125,414,175,97,1000
358,596,238,1,365
11,486,289,6,1000
7,1046,408,77,90
334,612,237,9,365
0,642,254,8,365
0,566,276,38,1000
0,610,273,11,1000
0,437,30,0,1000
0,496,225,86,30
0,617,284,27,7
8,649,359,12,365
0,585,263,12,365
0,617,295,16,1000
0,527,318,15,180
0,585,290,55,180
267,587,294,150,90
299,482,286,5,1000
349,631,246,7,365
0,541,261,68,365
345,578,308,9,365
0,566,304,8,365
383,627,334,9,365
387,660,269,4,180
0,713,309,4,365
34,544,279,13,1
0,304,148,7,90
370,714,275,8,365
0,605,313,25,7
0,702,273,4,180
384,720,279,4,180
0,974,412,141,1
29,605,321,28,365
0,647,341,32,7
0,659,352,12,365
0,623,246,2,365
352,633,248,7,365
0,604,337,17,180
304,566,247,9,365
0,331,117,0,180
0,486,285,5,1
342,614,304,6,365
389,728,299,8,365
37,508,242,11,1
0,598,287,7,365
264,321,96,0,365
0,648,265,4,180
0,509,311,15,30
382,713,287,8,365
351,648,286,10,365
218,575,267,5,1000
324,706,272,1,180
0,531,258,27,365
0,581,271,13,1000
341,564,300,9,365
91,678,264,2,1000
0,680,359,16,1
0,686,267,11,365
0,596,276,2,1000
0,645,254,7,365
0,857,327,73,7
0,628,311,19,1
0,647,257,6,365
0,595,277,15,90
291,489,297,7,365
0,712,284,7,7
333,655,263,7,365
372,647,273,9,1000
387,630,338,10,365
0,561,278,37,180
0,562,268,19,1
0,170,106,1,90
0,694,320,24,180
70,610,347,34,1
0,171,114,3,1000
0,646,334,11,7
338,644,255,6,365
0,568,327,12,1000
95,532,255,46,365
102,165,107,2,1000
0,257,118,2,180
34,576,287,18,1
0,563,293,113,180
242,321,59,0,365
0,532,255,5,180
7,484,284,5,1000
0,644,278,10,1000
0,702,293,10,365
333,591,282,14,1000
309,425,9,0,1000
13,1023,437,86,7
0,353,165,7,365
0,601,304,9,365
5,628,337,9,365
0,375,171,10,90
0,198,125,2,90
0,401,174,10,365
0,674,273,9,365
0,611,327,8,365
0,614,338,17,180
0,598,244,1,180
0,588,339,13,180
0,589,341,13,7
0,619,351,13,14
363,697,315,8,365
305,657,305,10,365
0,660,267,7,365
0,607,277,10,1000
0,755,278,8,365
112,600,249,2,180
0,319,156,7,1000
0,674,362,13,365
0,589,268,19,90
0,581,289,182,365
0,632,248,7,365
55,165,98,2,365
0,245,83,0,365
304,371,110,0,1000
289,698,275,2,180
0,511,217,90,30
0,566,278,19,7
395,661,285,27,365
0,583,303,130,1000
253,562,280,92,90
0,392,173,10,180
393,702,266,11,365
0,445,265,29,7
341,641,254,7,365
0,629,259,3,90
122,625,257,3,180
366,655,256,9,365
0,591,293,177,365
0,579,300,138,180
213,495,230,77,7
356,599,277,2,1000
366,657,265,4,180
0,625,251,7,365
392,676,297,3,365
0,697,269,11,90
192,511,219,90,30
0,629,361,17,90
0,477,210,76,30
340,647,254,7,365
389,671,290,2,365
232,541,259,160,7
182,543,259,25,1000
0,613,303,6,1000
409,703,305,3,365
0,843,502,126,1
0,637,248,8,365
347,638,249,8,365
0,612,335,17,1
0,749,297,4,180
232,534,253,162,7
0,460,205,84,90
54,563,266,73,1000
392,726,284,4,14
0,173,103,2,90
356,639,283,10,365
39,537,260,6,365
0,615,349,12,365
47,580,304,134,1000
0,428,187,95,1000
50,591,307,167,365
216,496,226,78,1000
81,713,275,8,365
0,658,265,7,365
218,534,259,6,7
0,724,292,10,365
0,707,311,4,365
0,851,479,111,1
0,546,261,57,90
0,536,260,6,180
0,550,265,189,365
359,630,287,10,365
6,600,305,9,365
375,660,281,11,365
0,687,364,13,365
0,678,294,3,365
400,748,299,4,7
0,664,253,9,365
0,643,255,8,90
0,712,320,6,365
344,609,284,9,365
0,670,256,9,365
0,629,253,7,365
0,183,112,2,90
0,551,278,2,180
223,521,242,157,1
371,717,270,8,1000
0,372,169,9,30
0,597,262,15,1
217,556,263,70,30
197,565,265,17,365
0,977,527,134,1
320,444,46,0,365
326,552,281,3,365
0,713,274,8,365
235,318,70,0,365
0,643,253,7,365
0,448,270,34,1
347,605,276,11,1000
0,700,291,10,180
400,741,293,4,180
0,657,263,6,365
0,647,342,16,90
0,647,268,12,7
64,604,322,24,7
47,580,307,134,1000
0,543,260,49,365
347,577,272,2,365
70,196,124,2,90
336,666,268,7,365
356,679,266,7,365
321,672,281,10,365
369,749,277,8,365
0,690,269,11,1000
50,567,267,15,365
309,425,6,0,365
111,416,181,93,30
0,710,273,11,365
0,626,289,10,365
196,541,265,68,365
345,587,276,2,365
0,710,280,11,365
0,277,131,5,180
352,655,283,10,365
0,484,286,6,365
0,504,295,5,180
0,692,270,8,365
17,481,287,55,7
0,599,287,27,30
0,640,258,4,365
0,660,349,12,365
13,1023,436,86,7
334,539,306,6,180
0,518,264,62,1000
370,614,331,8,365
0,532,254,5,180
0,611,277,10,1000
322,594,233,9,365
320,564,264,11,1000
81,702,267,8,365
211,496,230,127,7
367,711,269,8,365
322,427,115,0,1000
0,591,339,11,365
226,294,77,0,365
369,613,328,8,365
0,674,274,6,365
0,516,284,6,180
0,616,240,2,365
173,531,256,27,365
0,589,282,36,365
190,542,256,58,365
0,520,258,60,1000
361,602,240,1,1000
56,367,172,9,30
28,500,229,7,90
387,729,323,6,365
371,646,272,9,1000
390,731,303,9,365
0,552,262,25,365
0,191,115,2,90
197,565,265,17,365
0,276,114,2,7
0,776,365,76,1
0,744,275,7,365
0,729,285,4,180
337,544,297,10,365
333,707,268,1,180
13,486,292,6,365
6,600,305,9,365
0,437,21,0,365
359,641,280,10,1000
37,549,280,98,180
182,542,257,25,365
0,175,117,3,1000
0,710,314,4,365
0,642,284,2,365
0,601,250,1,365
0,613,238,9,365
0,703,267,11,1000
119,422,189,91,90
362,692,324,7,365
0,621,251,8,365
0,576,288,18,14
218,288,74,0,365
0,699,272,4,365
0,701,264,11,365
29,336,158,7,90
0,599,272,2,365
0,625,356,19,180
0,588,330,10,365
0,625,259,3,180
0,578,299,82,1000
308,639,293,9,365
0,624,256,3,365
367,691,268,7,365
0,541,256,25,365
0,547,275,3,180
0,544,296,10,365
0,559,268,11,1000
327,567,266,11,1000
381,634,253,3,180
346,650,279,10,1000
0,577,298,138,180
3,580,314,8,365
16,580,294,73,180
0,526,236,8,7
0,730,267,7,1000
358,689,274,8,365
8,667,412,78,1
0,687,276,7,365
341,426,123,0,1000
0,458,266,42,7
0,732,287,4,180
0,511,230,124,14
202,488,233,93,1
0,565,266,10,365
0,662,266,7,365
372,725,304,9,365
36,586,287,49,365
369,695,273,7,365
0,675,297,10,365
0,697,271,11,90
23,589,292,62,365
0,542,261,68,1
0,631,292,7,365
0,168,109,3,180
0,551,261,25,365
0,711,273,1,14
12,576,298,82,180
247,318,121,2,1000
0,567,264,16,365
0,654,254,2,180
0,718,290,8,1000
351,691,268,8,365
366,604,277,2,365
0,502,285,6,180
365,700,316,8,365
0,712,283,7,365
379,769,293,8,365
0,436,103,0,1000
0,623,277,7,365
0,573,262,5,365
0,551,264,189,1000
247,550,266,189,180
43,573,291,87,180
409,703,273,12,365
0,769,291,8,365
0,673,266,4,1000
13,636,249,3,365
0,675,299,3,365
0,556,261,70,180
217,533,257,6,7
0,571,232,10,365
321,549,330,13,365
0,527,251,163,14
0,713,284,7,365
0,617,240,2,180
22,328,157,7,90
63,664,259,10,365
331,432,102,0,365
0,675,361,13,365
55,632,301,31,1
0,693,288,26,14
358,629,250,7,365
242,602,267,4,365
238,565,279,32,365
388,636,341,10,365
0,626,294,14,1000
0,636,244,7,365
0,426,187,94,90
354,433,100,0,365
0,570,258,8,365
66,598,341,29,1
122,429,191,91,90
0,848,403,78,90
0,483,281,5,180
0,519,229,107,7
0,495,229,90,365
0,359,171,8,180
0,531,301,6,180
254,573,290,87,90
0,731,268,7,365
0,546,300,10,365
0,598,267,11,1000
0,569,265,11,30
215,501,230,74,1000
0,584,313,9,365
0,383,174,9,30
309,425,7,0,365
0,437,39,0,365
0,535,295,10,365
0,437,19,0,365
348,566,303,8,365
357,640,253,8,365
0,530,293,72,7
0,688,288,10,7
0,1013,423,160,14
380,698,274,7,365
0,995,384,66,1
0,674,294,3,365
0,446,47,0,365
276,331,104,0,365
0,704,284,12,7
0,657,279,11,365
0,566,277,34,180
0,672,306,10,365
347,434,126,0,365
313,661,299,9,365
0,590,298,152,365
393,642,342,10,365
336,657,262,7,365
193,540,259,58,365
0,437,22,0,1000
0,631,254,2,180
0,640,253,7,365
0,171,116,3,180
388,728,295,8,365
0,598,340,11,365
216,531,259,12,14
0,623,289,15,30
0,564,264,18,365
293,489,297,7,365
0,598,334,27,30
0,307,149,7,90
0,740,291,4,365
0,687,267,11,365
220,518,239,158,1
0,724,296,8,365
93,536,252,46,365
220,518,238,158,7
0,484,278,5,1000
0,600,275,2,1000
217,556,262,70,7
402,695,275,11,365
60,173,106,2,90
192,561,264,25,365
0,599,276,41,7
0,467,210,83,1
414,675,364,12,365
0,602,279,2,1000
0,708,277,11,1000
88,679,260,2,1000
0,507,298,8,365
0,606,339,18,180
382,690,277,7,365
390,663,270,4,180
397,671,293,3,365
358,630,286,10,365
6,708,308,3,365
0,552,283,3,365
322,648,264,6,365
0,539,255,25,365
105,186,113,2,90
0,684,276,11,365
0,868,387,84,1
0,618,305,6,365
0,545,261,58,365
386,712,283,7,365
0,727,285,6,365
368,605,277,2,365
0,553,231,9,1000
189,543,264,57,365
0,614,341,17,180
384,720,280,4,365
0,173,100,2,90
342,565,302,9,365
60,167,97,1,1000
0,467,206,84,14
0,600,290,43,365
377,701,318,6,180
330,607,235,9,365
0,425,186,95,1000
58,539,262,68,365
0,699,271,4,180
0,410,176,11,30
327,617,322,23,14
0,713,292,10,365
0,572,276,186,365
0,573,273,2,180
360,701,268,8,1000
0,328,105,0,1000
0,634,338,10,365
310,507,297,8,365
0,650,276,10,365
0,653,300,9,365
0,562,277,32,180
315,516,283,6,180
0,299,140,7,90
352,610,276,11,1000
0,626,353,18,1
349,577,275,2,180
0,626,248,1,180
0,556,282,5,180
0,302,121,2,180
0,717,287,14,1
0,828,486,118,7
0,642,254,7,365
336,666,269,7,365
316,678,312,10,365
0,561,285,3,180
0,598,274,21,7
42,540,256,46,365
0,668,289,2,365
0,582,294,72,180
0,522,245,157,14
355,599,274,2,365
389,729,295,8,365
215,526,254,6,365
0,640,263,4,180
246,323,114,0,180
0,710,271,8,365
0,178,109,2,90
0,602,276,11,1000
343,648,256,7,365
0,584,262,12,1000
0,182,107,3,180
176,485,210,102,30
359,740,271,7,1000
252,569,289,88,90
0,597,239,1,180
360,601,246,1,180
0,711,322,7,1000
309,425,5,0,365
0,546,298,8,365
0,584,334,10,365
0,316,154,7,90
0,434,273,33,365
186,548,264,52,365
180,515,253,58,365
191,548,265,58,365
359,599,281,2,365
112,597,251,2,180
0,437,16,0,365
0,618,305,6,365
0,625,334,9,365
355,621,290,10,365
0,552,318,13,180
332,695,265,1,365
0,469,114,0,365
52,540,330,28,1
309,425,4,0,365
425,686,363,13,365
287,354,107,0,365
126,559,260,25,365
372,715,274,8,1000
0,715,288,8,365
0,191,117,2,90
0,716,295,10,365
347,605,277,11,1000
0,552,263,18,1000
0,634,293,10,365
0,634,253,3,180
0,705,307,3,365
276,652,253,2,180
0,640,253,7,365
342,565,303,9,365
0,437,25,0,365
0,513,223,107,365
0,416,179,94,90
0,542,261,45,365
0,630,292,9,365
0,522,224,89,1
0,643,256,8,1000
106,415,175,97,7
211,496,229,127,7
0,606,291,42,365
237,290,88,0,365
0,639,253,7,365
0,608,337,29,14
0,270,127,5,90
386,672,292,3,365
0,316,64,0,1000
0,641,284,1,7
0,612,336,17,180
380,768,290,8,365
331,590,254,11,365
0,642,260,3,365
0,543,262,56,365
245,323,61,0,365
262,582,303,128,90
0,619,305,6,365
186,538,259,45,365
0,579,272,2,365
262,582,302,128,1000
398,697,271,11,365
363,600,304,9,365
3,638,362,17,180
0,602,278,2,365
0,240,121,4,90
0,548,263,58,365
0,751,277,8,1000
0,536,306,7,180
0,601,297,7,365
384,720,280,4,180
0,722,284,6,1
0,548,264,58,1000
0,652,265,7,365
150,476,216,85,7
319,514,286,6,180
349,565,301,8,365
366,655,255,9,365
361,637,243,7,365
0,647,263,4,365
325,430,114,0,365
0,717,318,6,365
0,679,274,7,1000
0,693,320,7,365
361,638,280,2,365
0,636,293,7,365
334,593,255,11,1000
0,467,113,0,1000
0,1042,557,140,7
393,692,275,11,365
0,416,178,96,90
0,314,119,2,1000
0,600,275,11,1000
0,480,213,78,90
316,558,268,11,1000
0,497,216,96,14
0,681,269,7,7
0,529,256,6,180
64,607,291,42,365
0,650,287,9,365
0,468,114,0,365
0,637,292,9,365
0,518,229,104,14
0,531,257,10,365
0,648,262,6,365
323,568,263,10,1000
0,706,320,6,365
364,610,240,1,180
0,708,278,11,365
0,762,295,8,1000
0,534,278,3,1000
0,488,205,96,14
4,975,352,52,7
352,627,248,8,365
389,725,326,7,365
381,729,299,9,365
0,673,300,3,365
0,618,307,47,1
0,640,254,7,365
0,631,279,7,365
0,710,313,4,365
212,519,234,102,180
0,647,276,10,365
367,611,326,8,365
385,707,280,7,365
335,658,264,7,365
0,712,281,11,90
0,642,254,7,365
0,708,279,11,365
0,518,319,16,180
0,660,269,4,365
0,598,234,9,365
0,578,299,138,180
327,596,313,24,7
0,560,234,10,365
392,675,301,3,365
0,593,300,158,365
0,608,276,2,365
0,589,249,11,1000
354,629,249,8,365
0,662,350,12,365
337,537,306,6,1000
364,644,242,8,365
257,603,254,3,365
222,290,75,0,365
0,312,116,2,180
401,676,297,3,1000
0,277,130,5,180
0,165,111,3,365
223,522,247,157,7
54,646,315,32,180
293,704,275,2,180
362,693,320,7,365
0,670,290,2,365
0,740,295,4,180
366,602,239,1,365
84,686,273,1,365
326,405,129,0,365
0,603,279,2,365
33,525,254,5,180
190,559,262,25,365
0,589,285,182,365
308,375,111,0,365
0,778,387,72,180
0,658,352,12,1000
54,533,259,68,365
5,631,340,9,365
0,726,298,8,365
374,643,283,1,365
0,572,296,87,1000
0,567,303,8,365
86,545,263,57,365
44,563,322,30,90
0,494,214,96,30
55,613,287,26,14
314,387,124,0,365
224,519,247,159,1000
0,391,173,10,90
0,656,260,7,365
348,637,250,8,365
0,567,302,8,365
363,744,274,7,365
0,601,298,7,365
0,609,280,9,365
0,627,265,17,180
0,549,281,98,180
0,593,300,177,365
0,367,171,9,365
217,574,266,5,365
0,661,278,11,365
372,714,289,9,1000
52,531,259,68,365
317,505,309,16,180
54,563,265,73,1000
388,715,324,7,365
0,579,266,44,365
0,648,297,42,7
29,607,324,28,1
0,669,291,2,1000
383,672,260,11,365
0,717,291,8,365
0,525,300,12,180
0,630,303,7,365
328,689,265,1,365
0,947,370,67,180
0,718,293,10,365
365,597,238,1,180
371,711,288,9,1000
356,599,271,2,365
0,257,116,2,365
0,727,298,9,365
345,719,271,1,365
0,597,292,7,1000
401,743,296,4,1000
0,589,288,178,90
0,383,122,0,365
0,578,300,135,180
0,640,252,7,365
0,536,306,6,180
376,662,259,10,365
0,716,291,10,365
0,600,256,11,1000
0,1016,551,139,7
378,705,274,4,180
0,584,301,161,365
111,416,182,93,1
391,734,327,6,365
122,584,273,33,365
223,522,248,164,180
307,528,311,14,365
0,604,314,25,1000
92,544,262,49,1000
0,554,260,43,1
220,537,259,6,7
348,637,249,8,365
331,584,261,12,1000
0,540,256,46,365
0,541,263,53,365
366,641,275,10,1000
0,1146,484,176,30
0,527,314,14,365
325,607,316,25,7
0,511,303,5,180
0,731,328,6,365
267,585,297,150,90
0,760,300,8,365
363,746,276,7,365
0,689,275,7,365
250,336,111,0,1000
0,556,300,8,365
115,303,147,7,90
0,584,276,33,365
0,481,285,6,365
378,722,297,9,365
0,514,225,107,180
62,602,316,24,7
368,641,259,3,180
200,571,270,12,365
0,625,303,7,365
0,615,237,2,180
0,526,250,10,90
0,638,295,10,1000
0,593,303,156,365
0,682,285,10,365
350,609,276,10,1000
394,644,343,11,365
43,570,274,17,1
0,617,254,8,365
0,707,279,10,365
324,706,272,1,180
0,191,118,2,90
0,593,254,11,1000
22,309,150,7,90
0,694,321,7,365
0,232,118,3,180
315,675,292,10,365
252,330,50,0,365
0,682,323,80,1
0,214,119,3,180
332,583,253,8,1000
0,613,304,6,1000
302,687,274,1,180
0,676,325,79,90
350,579,303,8,365
0,436,198,91,90
0,617,241,9,1
361,620,254,3,180
368,641,258,3,180
0,674,292,10,365
0,562,281,92,180
0,632,282,7,365
13,727,325,6,365
0,542,278,15,7
0,654,361,18,90
0,319,120,2,180
0,575,296,139,180
0,532,255,58,1000
0,533,258,68,365
22,318,155,7,90
0,502,282,49,1
0,428,98,0,365
0,330,99,0,1000
0,567,259,7,1000
0,566,282,92,180
0,716,272,9,365
0,559,309,78,7
0,502,286,6,365
326,599,235,9,365
309,640,294,9,365
0,170,99,2,30
0,633,248,7,1000
0,437,44,0,365
0,673,265,7,365
351,634,252,8,365
0,828,397,118,1
350,582,303,9,365
0,673,297,10,365
0,589,275,2,90
0,688,325,28,30
0,436,199,91,180
402,695,276,11,365
0,741,295,4,365
0,610,286,9,365
354,612,346,11,1
0,552,325,13,1000
0,629,290,10,365
0,650,316,30,1
78,400,177,10,1000
0,497,290,10,365
0,744,274,7,365
348,427,97,0,365
0,419,183,95,90
0,570,275,13,1000
38,556,325,32,7
0,661,276,10,365
0,695,274,11,365
0,723,290,10,180
254,570,296,79,90
0,627,247,1,365
0,620,251,8,14
0,444,101,0,1000
0,697,273,11,180
276,677,259,2,1000
349,579,274,2,180
0,524,306,7,180
27,584,318,9,365
0,871,327,71,7
47,578,300,126,365
330,526,303,6,180
72,520,254,58,365
179,520,257,59,365
0,683,272,1,180
408,712,308,4,365
366,651,290,2,365
342,614,305,6,365
0,696,283,19,14
0,677,302,3,1000
0,569,296,75,180
350,672,264,7,365
0,524,323,16,180
0,416,178,97,90
0,177,108,3,180
0,675,298,10,365
0,695,272,2,180
0,523,298,12,180
3,244,121,4,1000
319,523,277,5,180
0,634,249,7,365
0,504,291,6,365
0,548,264,50,365
352,650,287,10,365
0,617,344,17,180
353,647,253,8,365
320,563,263,11,1000
0,656,263,6,365
0,578,230,9,365
392,741,304,9,365
6,713,283,7,365
0,501,310,15,180
0,590,254,11,1000
7,634,338,9,1000
378,712,289,8,365
0,488,300,6,90
0,582,264,4,365
0,569,259,8,365
352,629,249,8,365
277,653,257,2,180
0,629,280,2,365
339,661,267,7,365
0,432,125,0,365
385,674,262,11,365
0,606,279,2,1000
276,652,257,2,180
143,442,260,36,1
0,591,292,177,365
0,600,253,11,1000
0,544,264,57,365
0,717,290,8,365
0,486,287,6,365
0,321,122,2,1000
0,579,285,182,365
0,655,284,10,1000
366,704,270,8,365
0,586,331,10,365
0,727,320,6,365
278,654,257,2,1000
13,704,321,6,365
55,567,262,44,1000
0,375,170,10,90
49,539,326,31,1000
0,759,298,8,365
0,676,312,10,365
0,437,36,0,365
0,580,258,12,1000
0,667,298,10,365
53,576,273,15,365
0,690,268,11,1000
0,536,252,25,1000
0,370,173,9,90
0,644,285,2,365
212,516,235,102,30
0,749,298,4,180
391,725,283,4,1000
348,610,282,9,365
337,543,292,10,365
0,696,268,4,180
272,334,106,0,365
0,581,231,9,365
0,709,277,12,365
206,519,230,107,30
0,588,298,149,180
340,423,131,0,365
0,1041,427,157,7
264,575,277,186,90
362,640,248,7,365
234,538,256,162,14
0,669,268,4,365
321,565,264,11,1000
183,534,258,47,365
0,644,345,11,365
0,502,291,5,180
0,553,266,30,365
0,726,302,9,365
34,560,270,24,180
110,184,111,2,180
345,619,307,6,365
0,683,268,4,180
0,662,282,11,365
307,407,117,0,365
355,583,316,9,365
0,661,347,11,1
0,590,303,167,365
372,759,286,8,365
62,602,315,24,7
0,566,257,11,1000
370,702,267,7,365
0,566,304,8,365
0,627,287,10,365
0,540,266,23,90
0,195,121,2,90
393,665,291,3,365
0,437,40,0,365
0,572,248,17,1
88,398,175,11,7
38,345,162,7,1
0,705,267,11,365
199,258,114,2,180
109,275,128,5,90
0,741,303,9,365
110,177,110,2,180
0,580,331,14,180
223,291,76,0,365
0,678,298,10,180
0,425,185,95,90
150,476,214,85,180
329,531,304,7,180
0,451,203,90,90
322,427,114,0,365
0,571,277,13,1000
327,535,304,7,180
371,724,311,9,365
0,549,282,98,180
41,351,163,7,90
0,694,280,1,1000
187,551,263,25,365
0,644,251,8,365
0,640,250,7,365
36,559,262,14,1000
0,632,354,18,30
0,575,230,9,365
0,685,316,8,365
0,538,261,53,365
0,568,312,41,90
339,581,334,10,365
330,582,252,8,1000
344,570,280,2,180
0,564,263,25,365
195,565,263,17,1000
0,584,269,44,365
0,549,262,168,365
54,550,332,26,1
0,717,317,6,365
372,693,276,7,365
0,519,266,64,1
0,182,112,2,90
0,562,267,30,365
342,599,293,7,365
0,533,266,67,180
0,642,258,7,365
0,671,348,16,30
0,409,114,0,14
0,590,275,32,365
0,706,270,11,365
239,597,265,4,365
0,708,277,12,365
400,656,345,12,365
0,450,281,56,7
0,526,248,12,90
0,615,238,2,180
43,565,246,16,1
0,703,319,6,365
0,597,271,2,365
0,374,112,0,1000
0,234,117,3,1000
361,637,245,7,365
0,722,297,10,365
0,603,337,11,7
355,695,266,8,365
0,674,296,10,1000
0,712,327,7,365
370,716,271,8,365
202,488,231,93,30
0,606,280,2,365
0,599,306,9,365
347,615,283,9,365
383,737,290,8,365
363,622,255,3,180
0,216,119,2,90
0,696,273,2,180
0,646,257,6,365
0,503,231,97,180
65,167,96,1,180
308,408,116,0,365
0,631,337,9,365
0,507,296,6,1000
0,633,250,7,365
0,824,396,114,7
0,708,271,9,365
0,665,294,3,365
358,637,255,7,365
0,485,295,6,365
0,593,267,9,365
0,634,251,8,365
0,722,295,10,365
0,425,99,0,365
376,662,256,10,365
0,597,281,2,365
0,539,258,58,365
0,596,296,177,365
94,533,255,46,365
0,716,271,8,365
347,651,280,10,1000
0,661,276,11,365
313,678,297,10,365
321,548,278,3,365
0,378,172,9,365
194,545,260,58,365
0,606,275,2,365
0,638,293,10,365
314,673,311,10,365
266,583,288,182,90
0,697,270,11,90
0,617,242,10,365
0,491,305,29,90
0,620,268,14,1
0,442,200,90,1000
0,586,302,171,365
379,661,289,2,1000
129,378,170,10,90
0,750,297,4,180
60,565,336,29,7
364,688,269,8,365
393,719,318,6,365
0,616,239,2,180
0,586,254,8,365
0,637,260,10,30
0,621,256,3,365
0,657,346,12,365
0,721,309,9,365
0,725,298,10,365
0,731,326,6,365
0,610,287,9,365
308,656,299,9,365
0,544,256,58,365
31,608,338,29,30
0,568,267,23,365
0,337,48,0,365
378,726,301,9,365
0,711,266,11,365
0,701,267,8,365
0,746,300,4,180
0,642,261,3,180
398,699,277,10,365
0,681,298,3,365
0,634,252,3,180
0,549,279,5,180
360,603,324,8,365
0,641,249,7,14
0,449,101,0,365
359,600,282,2,365
188,555,263,25,365
357,591,317,8,365
334,534,305,6,180
218,534,258,6,7
0,509,297,12,180
0,575,260,12,1000
0,557,271,186,365
338,665,270,7,365
40,538,264,6,1000
209,250,85,0,365
3,975,364,57,1
0,936,410,119,1
0,648,256,7,365
354,621,289,9,365
410,669,359,12,365
0,636,250,8,365
0,172,110,3,1000
0,583,287,182,365
0,678,268,8,365
391,690,273,11,365
325,539,277,5,180
0,634,256,4,180
395,739,329,7,365
0,540,260,45,365
363,687,318,8,365
365,645,282,10,1000
32,562,279,37,365
334,593,247,11,1000
0,243,118,2,180
0,715,283,7,365
0,700,271,7,365
0,312,117,2,180
0,613,253,3,180
0,674,297,3,365
410,704,306,3,365
0,600,273,11,1000
0,713,275,11,1000
0,505,285,5,180
0,590,275,2,180
351,619,279,10,1000
0,425,13,0,365
0,551,283,3,180
328,523,305,7,365
0,645,351,25,14
123,177,117,3,180
366,605,274,2,365
0,596,279,2,1000
0,676,286,10,365
0,554,283,100,180
36,343,163,7,365
385,658,268,4,365
36,545,323,31,1000
0,565,339,28,1
307,691,279,1,180
86,667,254,2,180
0,549,278,2,180
0,642,264,4,180
215,498,222,80,30
0,597,340,29,14
0,589,283,182,365
252,569,288,88,90
0,729,291,10,1000
191,560,263,25,365
214,526,255,6,14
360,600,238,1,1000
107,181,111,2,1000
