@relation 'kafka-weka.filters.unsupervised.attribute.Remove-V-R3,5,6,7,last'

@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
0,0,15,15,14
69,3,120,22,1
86,0,97,2,1000
101,8,148,50,180
66,2,108,15,1000
29,0,55,2,90
119,0,138,43,7
73,0,119,22,7
1,0,20,15,1000
287,7,795,303,1
32,0,81,2,30
52,0,68,0,365
90,0,122,8,7
120,15,150,52,30
70,0,114,18,7
83,22,158,43,7
106,4,167,58,7
119,19,165,70,1000
75,0,93,1,1000
72,0,174,4,14
131,12,131,58,7
61,0,91,0,180
125,7,139,60,14
66,0,90,17,1000
114,12,147,64,7
338,3,905,351,14
111,33,170,67,7
0,0,3,11,1000
98,0,166,13,90
138,14,163,69,7
47,2,121,5,7
329,0,914,348,14
127,24,138,54,1
70,0,142,8,1
121,12,154,63,365
75,2,116,20,7
64,0,159,6,1
73,4,125,22,1000
86,0,122,7,90
63,0,112,8,7
32,0,75,2,180
68,0,146,12,90
11,0,40,16,1000
383,0,900,387,1
57,0,110,7,7
113,15,141,45,1
85,24,158,49,30
118,38,147,65,7
113,15,142,44,1
73,0,134,11,14
69,13,157,37,90
47,0,82,17,14
78,3,147,10,7
115,14,163,69,7
103,18,129,45,365
116,0,191,15,1
118,5,153,64,90
30,0,68,2,90
59,0,114,12,180
28,0,53,2,1000
128,7,138,58,7
87,0,131,9,1
111,34,142,61,14
115,1,200,15,90
110,5,197,29,30
61,5,111,17,30
105,2,130,45,180
68,0,164,6,30
70,0,142,8,7
119,11,134,42,30
116,7,163,66,14
49,0,123,8,14
40,1,106,3,180
110,0,132,49,7
34,0,87,2,90
56,1,117,9,7
97,22,126,43,14
118,11,144,64,365
71,1,150,32,90
101,0,254,9,1
120,2,135,45,14
196,0,558,183,180
34,0,88,2,30
143,20,170,75,1
38,0,97,3,30
110,4,169,60,14
30,0,63,2,90
40,1,107,3,180
131,14,140,56,1000
87,1,102,2,1000
124,14,151,63,30
61,4,117,14,1
58,0,114,10,1000
229,0,596,229,90
83,4,157,43,7
81,2,148,43,7
113,19,139,45,14
132,10,133,58,7
85,0,155,45,7
118,13,156,65,365
70,0,144,32,30
82,8,140,39,90
119,11,151,62,365
126,9,144,62,180
70,0,140,8,14
81,1,123,23,90
289,0,782,302,1
11,0,37,16,1000
125,9,155,66,365
112,0,273,7,365
40,1,105,3,180
113,32,171,65,14
75,0,154,12,7
128,14,133,57,7
120,0,148,52,30
76,7,116,19,1
124,14,151,62,1
36,0,93,3,30
114,15,144,44,1
53,0,112,14,7
40,1,108,3,180
82,0,131,27,180
120,8,152,63,30
113,19,138,45,14
114,4,143,47,7
60,2,116,14,1
87,0,150,45,7
118,13,149,64,7
145,9,167,72,7
58,0,112,15,90
83,0,123,23,90
29,0,56,2,90
69,0,154,37,7
31,0,63,17,1000
40,1,103,3,180
89,1,100,2,1000
80,1,122,24,30
42,0,114,3,30
104,14,166,58,180
90,0,148,9,1
128,5,137,56,1
93,11,149,45,365
83,0,176,11,1
50,5,127,9,90
48,0,91,0,1000
90,1,121,42,14
95,15,125,43,7
57,0,73,0,1000
0,0,8,11,1000
74,0,130,26,180
88,1,130,9,90
125,17,147,50,7
62,4,120,21,90
123,41,149,68,180
54,1,101,13,7
88,1,144,9,7
36,0,94,3,30
83,2,154,42,90
121,0,154,66,90
81,10,150,42,1000
338,0,904,371,7
138,17,155,69,1
98,0,172,19,7
76,20,148,36,30
105,4,130,44,7
51,0,90,0,1000
65,9,135,26,90
56,3,117,9,30
32,0,82,2,90
82,5,126,24,7
29,0,66,0,1
87,0,129,9,90
129,6,136,54,7
54,0,134,20,7
144,17,169,73,7
57,0,74,0,1000
129,4,204,17,180
34,0,69,0,1000
40,1,109,3,180
93,17,124,43,14
92,2,152,46,1000
83,2,152,42,90
114,7,148,64,180
41,0,116,3,1000
113,16,134,45,7
42,0,117,3,7
87,2,142,41,365
57,6,116,20,1000
131,12,141,56,180
65,0,109,7,1000
30,0,66,2,1000
118,7,148,64,1000
70,0,134,11,30
132,9,135,56,7
113,0,147,56,1
124,1,200,15,7
129,0,138,57,90
79,0,127,27,90
119,11,149,62,365
118,5,151,64,14
116,10,154,69,1000
325,0,926,348,30
116,19,155,69,7
63,2,115,17,1
123,22,150,53,30
14,1,44,16,1000
102,1,261,8,7
39,0,99,3,30
92,0,191,9,180
82,1,123,14,90
73,0,135,12,30
11,0,36,16,7
62,0,91,0,1000
83,0,126,10,1000
124,11,151,70,365
91,0,219,6,90
118,7,143,64,30
71,11,149,32,180
70,0,117,22,90
103,3,166,57,7
84,0,190,10,14
97,4,126,42,7
69,16,147,32,30
58,0,115,10,90
0,0,1,4,1000
78,0,117,24,365
125,13,137,59,1
58,0,111,8,1000
111,33,167,67,1
72,0,151,12,30
55,0,108,13,1
128,24,138,54,1
68,0,105,13,180
81,4,149,41,30
91,17,123,43,30
124,11,150,70,365
124,18,148,51,7
81,21,148,41,1
79,0,89,3,1000
133,15,152,66,7
47,1,120,7,7
73,0,118,22,180
82,6,127,24,7
97,1,125,45,7
124,0,147,51,14
74,0,91,1,1000
60,4,118,18,1000
130,6,139,53,7
98,0,147,52,90
111,34,141,61,7
123,12,152,63,30
119,12,136,43,7
29,0,56,1,1000
76,0,128,27,180
117,7,166,69,7
133,15,153,66,1
83,2,153,42,90
42,0,115,3,1
125,11,138,59,7
102,1,173,14,7
145,19,165,72,7
58,0,117,10,365
128,6,133,58,1
75,0,119,24,90
62,4,115,14,7
79,20,149,39,14
58,0,116,10,365
102,0,249,18,365
47,1,121,7,1
47,2,120,5,90
42,0,116,3,1
102,19,151,51,1
90,14,122,42,1
79,5,129,27,30
95,2,150,46,7
141,23,170,75,30
119,11,139,43,1000
120,7,149,63,7
127,0,207,17,90
89,6,162,53,1
32,0,84,2,7
130,16,147,65,1
123,11,136,59,7
85,6,126,24,1
76,0,146,9,90
75,0,114,19,1
82,4,155,42,14
65,12,139,27,90
92,0,150,46,1
146,20,170,72,1
72,0,147,13,7
41,0,114,3,7
30,0,65,0,90
109,2,183,15,1000
90,0,125,8,90
39,0,98,3,90
113,16,140,45,90
113,4,169,62,7
76,3,149,37,1
97,23,149,52,14
84,0,176,12,7
98,2,159,11,30
58,1,109,17,90
81,2,151,41,14
120,5,160,65,90
64,9,138,26,14
65,2,138,26,30
119,11,133,42,7
68,0,107,8,7
229,0,597,229,90
102,5,164,56,1
97,20,127,43,14
77,2,114,22,14
122,9,148,67,7
88,7,151,44,7
125,14,141,61,90
68,1,112,19,180
100,15,124,44,7
94,0,123,42,7
86,3,123,7,90
356,0,830,362,1
85,24,159,49,7
33,0,85,2,365
99,0,147,53,30
113,32,170,65,30
117,7,164,67,1
136,16,154,68,1
85,0,127,24,365
73,0,149,11,180
49,5,124,8,30
329,0,856,342,7
91,8,151,50,365
124,1,201,15,1000
37,0,72,0,365
53,0,72,0,365
92,1,153,10,14
134,14,136,60,90
81,1,121,23,90
58,0,113,15,90
83,0,124,23,7
40,1,110,3,90
69,16,146,32,30
123,19,147,51,180
28,0,58,1,7
83,4,130,21,30
51,0,89,0,365
124,19,145,51,90
82,0,105,1,1000
68,4,145,32,30
54,0,102,13,1000
118,13,152,64,14
113,0,266,6,30
53,0,86,0,1000
70,3,114,17,1
122,13,151,64,30
70,1,157,36,1
93,0,150,45,365
66,2,108,14,90
111,0,164,66,1000
29,0,54,2,90
111,33,171,66,30
61,4,115,19,90
111,33,172,66,7
133,13,151,66,7
62,0,86,0,1000
